time,open,high,low,close
1782839760,30533,30544.25,30531.5,30544
1782839820,30544.25,30545.5,30536.5,30537.25
1782839880,30536.75,30541.25,30534,30539
1782839940,30539,30543.25,30537.25,30542
1782840000,30543.25,30553.5,30542.5,30553
1782840060,30552.75,30554.25,30542.25,30542.5
1782840120,30542.5,30547.25,30536.75,30543.5
1782840180,30543.25,30543.25,30535.25,30540.25
1782840240,30540.75,30542.25,30533.5,30539.75
1782840300,30539.5,30543.25,30537.75,30538.5
1782840360,30539.5,30541.75,30536.25,30538.25
1782840420,30538,30539,30528,30529
1782840480,30529.5,30534,30524.75,30529
1782840540,30529.5,30531.75,30525.75,30530
1782840600,30530.75,30532.75,30520.25,30526.75
1782840660,30526.5,30529.75,30518.5,30520.75
1782840720,30521,30526,30515.75,30520.5
1782840780,30520.25,30529.75,30519.5,30528.75
1782840840,30528.75,30532.75,30526,30530.75
1782840900,30530,30539.25,30530,30535
1782840960,30535.5,30535.75,30523.25,30525.75
1782841020,30526,30528.25,30523.5,30526
1782841080,30526.25,30531.25,30518.75,30524.5
1782841140,30525.25,30530.25,30518.5,30521.75
1782841200,30520.75,30532,30519.25,30531
1782841260,30531.5,30533.75,30524,30533
1782841320,30533.75,30545.25,30532,30541.5
1782841380,30540.5,30541.5,30538,30540
1782841440,30539,30543.75,30535.25,30543.25
1782841500,30543,30545.75,30532.25,30532.25
1782841560,30532.75,30535.5,30527.5,30532.5
1782841620,30532,30533,30525,30526.75
1782841680,30526.75,30530.75,30523.25,30527
1782841740,30527,30529.5,30521.75,30524.75
1782841800,30524.75,30525.5,30515.75,30520.25
1782841860,30520,30532,30517.75,30525.25
1782841920,30524.75,30529,30516.75,30523
1782841980,30522.75,30533.5,30521.5,30530
1782842040,30529.5,30530,30523.5,30528
1782842100,30527.75,30530.75,30521,30524.25
1782842160,30524.25,30531,30522.25,30524
1782842220,30524.5,30531.25,30524.5,30527.5
1782842280,30527.75,30527.75,30519.75,30526.75
1782842340,30527,30528.5,30522.25,30524.5
1782842400,30524.75,30528.75,30519,30520.5
1782842460,30521.75,30525.75,30517.5,30524.25
1782842520,30524.25,30538,30523.5,30534.75
1782842580,30534.75,30539.5,30530.5,30533.75
1782842640,30533.5,30540.25,30521.25,30529.5
1782842700,30528.75,30533,30518,30519
1782842760,30519.75,30523.25,30498.75,30507
1782842820,30507,30533.75,30507,30532.25
1782842880,30532,30537.5,30527,30533.25
1782842940,30532.75,30535,30529.25,30531.75
1782843000,30530.75,30535.75,30530.25,30532.5
1782843060,30532.75,30535,30526.75,30533
1782843120,30533,30533,30523,30525
1782843180,30524.75,30533,30524.5,30532
1782843240,30531.5,30532.75,30525.5,30525.5
1782843300,30525.25,30528.75,30519,30524
1782843360,30523.25,30530.5,30523,30527.5
1782843420,30528,30529.5,30521.75,30527
1782843480,30526.75,30536.25,30525.75,30536
1782843540,30535.75,30543.25,30534.5,30541.25
1782843600,30542,30545.25,30539.5,30543.25
1782843660,30543.25,30549,30537,30546.75
1782843720,30547,30547.25,30535.75,30536
1782843780,30535.5,30540,30534.75,30538
1782843840,30538,30539,30531,30531.5
1782843900,30531.25,30537.75,30528.25,30536
1782843960,30536.5,30537,30528.5,30531.25
1782844020,30531.25,30532.25,30528.75,30530.25
1782844080,30530.25,30536.5,30528.5,30531.5
1782844140,30532,30534.5,30530.5,30533.75
1782844200,30533.5,30535.75,30523,30524.5
1782844260,30524.75,30529,30523.75,30525.5
1782844320,30526.25,30537.5,30526.25,30529.25
1782844380,30529.75,30531.5,30524,30531.5
1782844440,30531.25,30533,30527.5,30530
1782844500,30528.75,30538,30528,30536
1782844560,30536,30539.25,30529.75,30530.75
1782844620,30531.25,30536.5,30529,30535.75
1782844680,30535.5,30536.25,30527,30528.25
1782844740,30527.75,30531.5,30527.5,30530
1782844800,30529.75,30540,30528.5,30539.5
1782844860,30538.5,30546.5,30538.5,30546.25
1782844920,30545.5,30548.25,30540.75,30546.25
1782844980,30546.5,30557.5,30546.5,30555.5
